2 1
-3.0000 -3.0000 41.0000
-2.8776 -3.0000 40.0354
-2.7551 -3.0000 39.1008
-2.6327 -3.0000 38.1962
-2.5102 -3.0000 37.3215
-2.3878 -3.0000 36.4769
-2.2653 -3.0000 35.6622
-2.1429 -3.0000 34.8776
-2.0204 -3.0000 34.1229
-1.8980 -3.0000 33.3982
-1.7755 -3.0000 32.7035
-1.6531 -3.0000 32.0387
-1.5306 -3.0000 31.4040
-1.4082 -3.0000 30.7993
-1.2857 -3.0000 30.2245
-1.1633 -3.0000 29.6797
-1.0408 -3.0000 29.1649
-0.9184 -3.0000 28.6801
-0.7959 -3.0000 28.2253
-0.6735 -3.0000 27.8005
-0.5510 -3.0000 27.4057
-0.4286 -3.0000 27.0408
-0.3061 -3.0000 26.7060
-0.1837 -3.0000 26.4011
-0.0612 -3.0000 26.1262
0.0612 -3.0000 25.8813
0.1837 -3.0000 25.6664
0.3061 -3.0000 25.4815
0.4286 -3.0000 25.3265
0.5510 -3.0000 25.2016
0.6735 -3.0000 25.1066
0.7959 -3.0000 25.0416
0.9184 -3.0000 25.0067
1.0408 -3.0000 25.0017
1.1633 -3.0000 25.0267
1.2857 -3.0000 25.0816
1.4082 -3.0000 25.1666
1.5306 -3.0000 25.2815
1.6531 -3.0000 25.4265
1.7755 -3.0000 25.6014
1.8980 -3.0000 25.8063
2.0204 -3.0000 26.0412
2.1429 -3.0000 26.3061
2.2653 -3.0000 26.6010
2.3878 -3.0000 26.9259
2.5102 -3.0000 27.2807
2.6327 -3.0000 27.6656
2.7551 -3.0000 28.0804
2.8776 -3.0000 28.5252
3.0000 -3.0000 29.0000
-3.0000 -2.8776 39.7905
-2.8776 -2.8776 38.8259
-2.7551 -2.8776 37.8913
-2.6327 -2.8776 36.9867
-2.5102 -2.8776 36.1120
-2.3878 -2.8776 35.2674
-2.2653 -2.8776 34.4527
-2.1429 -2.8776 33.6681
-2.0204 -2.8776 32.9134
-1.8980 -2.8776 32.1887
-1.7755 -2.8776 31.4940
-1.6531 -2.8776 30.8292
-1.5306 -2.8776 30.1945
-1.4082 -2.8776 29.5898
-1.2857 -2.8776 29.0150
-1.1633 -2.8776 28.4702
-1.0408 -2.8776 27.9554
-0.9184 -2.8776 27.4706
-0.7959 -2.8776 27.0158
-0.6735 -2.8776 26.5910
-0.5510 -2.8776 26.1962
-0.4286 -2.8776 25.8313
-0.3061 -2.8776 25.4965
-0.1837 -2.8776 25.1916
-0.0612 -2.8776 24.9167
0.0612 -2.8776 24.6718
0.1837 -2.8776 24.4569
0.3061 -2.8776 24.2720
0.4286 -2.8776 24.1170
0.5510 -2.8776 23.9921
0.6735 -2.8776 23.8971
0.7959 -2.8776 23.8322
0.9184 -2.8776 23.7972
1.0408 -2.8776 23.7922
1.1633 -2.8776 23.8172
1.2857 -2.8776 23.8721
1.4082 -2.8776 23.9571
1.5306 -2.8776 24.0721
1.6531 -2.8776 24.2170
1.7755 -2.8776 24.3919
1.8980 -2.8776 24.5968
2.0204 -2.8776 24.8317
2.1429 -2.8776 25.0966
2.2653 -2.8776 25.3915
2.3878 -2.8776 25.7164
2.5102 -2.8776 26.0712
2.6327 -2.8776 26.4561
2.7551 -2.8776 26.8709
2.8776 -2.8776 27.3157
3.0000 -2.8776 27.7905
-3.0000 -2.7551 38.6110
-2.8776 -2.7551 37.6464
-2.7551 -2.7551 36.7118
-2.6327 -2.7551 35.8072
-2.5102 -2.7551 34.9325
-2.3878 -2.7551 34.0879
-2.2653 -2.7551 33.2732
-2.1429 -2.7551 32.4885
-2.0204 -2.7551 31.7339
-1.8980 -2.7551 31.0092
-1.7755 -2.7551 30.3145
-1.6531 -2.7551 29.6497
-1.5306 -2.7551 29.0150
-1.4082 -2.7551 28.4102
-1.2857 -2.7551 27.8355
-1.1633 -2.7551 27.2907
-1.0408 -2.7551 26.7759
-0.9184 -2.7551 26.2911
-0.7959 -2.7551 25.8363
-0.6735 -2.7551 25.4115
-0.5510 -2.7551 25.0167
-0.4286 -2.7551 24.6518
-0.3061 -2.7551 24.3170
-0.1837 -2.7551 24.0121
-0.0612 -2.7551 23.7372
0.0612 -2.7551 23.4923
0.1837 -2.7551 23.2774
0.3061 -2.7551 23.0925
0.4286 -2.7551 22.9375
0.5510 -2.7551 22.8126
0.6735 -2.7551 22.7176
0.7959 -2.7551 22.6526
0.9184 -2.7551 22.6177
1.0408 -2.7551 22.6127
1.1633 -2.7551 22.6377
1.2857 -2.7551 22.6926
1.4082 -2.7551 22.7776
1.5306 -2.7551 22.8925
1.6531 -2.7551 23.0375
1.7755 -2.7551 23.2124
1.8980 -2.7551 23.4173
2.0204 -2.7551 23.6522
2.1429 -2.7551 23.9171
2.2653 -2.7551 24.2120
2.3878 -2.7551 24.5369
2.5102 -2.7551 24.8917
2.6327 -2.7551 25.2766
2.7551 -2.7551 25.6914
2.8776 -2.7551 26.1362
3.0000 -2.7551 26.6110
-3.0000 -2.6327 37.4615
-2.8776 -2.6327 36.4969
-2.7551 -2.6327 35.5623
-2.6327 -2.6327 34.6576
-2.5102 -2.6327 33.7830
-2.3878 -2.6327 32.9384
-2.2653 -2.6327 32.1237
-2.1429 -2.6327 31.3390
-2.0204 -2.6327 30.5843
-1.8980 -2.6327 29.8596
-1.7755 -2.6327 29.1649
-1.6531 -2.6327 28.5002
-1.5306 -2.6327 27.8655
-1.4082 -2.6327 27.2607
-1.2857 -2.6327 26.6860
-1.1633 -2.6327 26.1412
-1.0408 -2.6327 25.6264
-0.9184 -2.6327 25.1416
-0.7959 -2.6327 24.6868
-0.6735 -2.6327 24.2620
-0.5510 -2.6327 23.8671
-0.4286 -2.6327 23.5023
-0.3061 -2.6327 23.1674
-0.1837 -2.6327 22.8626
-0.0612 -2.6327 22.5877
0.0612 -2.6327 22.3428
0.1837 -2.6327 22.1279
0.3061 -2.6327 21.9429
0.4286 -2.6327 21.7880
0.5510 -2.6327 21.6631
0.6735 -2.6327 21.5681
0.7959 -2.6327 21.5031
0.9184 -2.6327 21.4681
1.0408 -2.6327 21.4631
1.1633 -2.6327 21.4881
1.2857 -2.6327 21.5431
1.4082 -2.6327 21.6281
1.5306 -2.6327 21.7430
1.6531 -2.6327 21.8880
1.7755 -2.6327 22.0629
1.8980 -2.6327 22.2678
2.0204 -2.6327 22.5027
2.1429 -2.6327 22.7676
2.2653 -2.6327 23.0625
2.3878 -2.6327 23.3873
2.5102 -2.6327 23.7422
2.6327 -2.6327 24.1270
2.7551 -2.6327 24.5419
2.8776 -2.6327 24.9867
3.0000 -2.6327 25.4615
-3.0000 -2.5102 36.3419
-2.8776 -2.5102 35.3773
-2.7551 -2.5102 34.4427
-2.6327 -2.5102 33.5381
-2.5102 -2.5102 32.6635
-2.3878 -2.5102 31.8188
-2.2653 -2.5102 31.0042
-2.1429 -2.5102 30.2195
-2.0204 -2.5102 29.4648
-1.8980 -2.5102 28.7401
-1.7755 -2.5102 28.0454
-1.6531 -2.5102 27.3807
-1.5306 -2.5102 26.7459
-1.4082 -2.5102 26.1412
-1.2857 -2.5102 25.5664
-1.1633 -2.5102 25.0217
-1.0408 -2.5102 24.5069
-0.9184 -2.5102 24.0221
-0.7959 -2.5102 23.5673
-0.6735 -2.5102 23.1424
-0.5510 -2.5102 22.7476
-0.4286 -2.5102 22.3828
-0.3061 -2.5102 22.0479
-0.1837 -2.5102 21.7430
-0.0612 -2.5102 21.4681
0.0612 -2.5102 21.2232
0.1837 -2.5102 21.0083
0.3061 -2.5102 20.8234
0.4286 -2.5102 20.6685
0.5510 -2.5102 20.5435
0.6735 -2.5102 20.4486
0.7959 -2.5102 20.3836
0.9184 -2.5102 20.3486
1.0408 -2.5102 20.3436
1.1633 -2.5102 20.3686
1.2857 -2.5102 20.4236
1.4082 -2.5102 20.5085
1.5306 -2.5102 20.6235
1.6531 -2.5102 20.7684
1.7755 -2.5102 20.9434
1.8980 -2.5102 21.1483
2.0204 -2.5102 21.3832
2.1429 -2.5102 21.6481
2.2653 -2.5102 21.9429
2.3878 -2.5102 22.2678
2.5102 -2.5102 22.6227
2.6327 -2.5102 23.0075
2.7551 -2.5102 23.4223
2.8776 -2.5102 23.8671
3.0000 -2.5102 24.3419
-3.0000 -2.3878 35.2524
-2.8776 -2.3878 34.2878
-2.7551 -2.3878 33.3532
-2.6327 -2.3878 32.4486
-2.5102 -2.3878 31.5739
-2.3878 -2.3878 30.7293
-2.2653 -2.3878 29.9146
-2.1429 -2.3878 29.1299
-2.0204 -2.3878 28.3753
-1.8980 -2.3878 27.6506
-1.7755 -2.3878 26.9559
-1.6531 -2.3878 26.2911
-1.5306 -2.3878 25.6564
-1.4082 -2.3878 25.0516
-1.2857 -2.3878 24.4769
-1.1633 -2.3878 23.9321
-1.0408 -2.3878 23.4173
-0.9184 -2.3878 22.9325
-0.7959 -2.3878 22.4777
-0.6735 -2.3878 22.0529
-0.5510 -2.3878 21.6581
-0.4286 -2.3878 21.2932
-0.3061 -2.3878 20.9584
-0.1837 -2.3878 20.6535
-0.0612 -2.3878 20.3786
0.0612 -2.3878 20.1337
0.1837 -2.3878 19.9188
0.3061 -2.3878 19.7339
0.4286 -2.3878 19.5789
0.5510 -2.3878 19.4540
0.6735 -2.3878 19.3590
0.7959 -2.3878 19.2940
0.9184 -2.3878 19.2591
1.0408 -2.3878 19.2541
1.1633 -2.3878 19.2791
1.2857 -2.3878 19.3340
1.4082 -2.3878 19.4190
1.5306 -2.3878 19.5339
1.6531 -2.3878 19.6789
1.7755 -2.3878 19.8538
1.8980 -2.3878 20.0587
2.0204 -2.3878 20.2936
2.1429 -2.3878 20.5585
2.2653 -2.3878 20.8534
2.3878 -2.3878 21.1783
2.5102 -2.3878 21.5331
2.6327 -2.3878 21.9180
2.7551 -2.3878 22.3328
2.8776 -2.3878 22.7776
3.0000 -2.3878 23.2524
-3.0000 -2.2653 34.1928
-2.8776 -2.2653 33.2282
-2.7551 -2.2653 32.2936
-2.6327 -2.2653 31.3890
-2.5102 -2.2653 30.5144
-2.3878 -2.2653 29.6697
-2.2653 -2.2653 28.8551
-2.1429 -2.2653 28.0704
-2.0204 -2.2653 27.3157
-1.8980 -2.2653 26.5910
-1.7755 -2.2653 25.8963
-1.6531 -2.2653 25.2316
-1.5306 -2.2653 24.5968
-1.4082 -2.2653 23.9921
-1.2857 -2.2653 23.4173
-1.1633 -2.2653 22.8726
-1.0408 -2.2653 22.3578
-0.9184 -2.2653 21.8730
-0.7959 -2.2653 21.4182
-0.6735 -2.2653 20.9933
-0.5510 -2.2653 20.5985
-0.4286 -2.2653 20.2337
-0.3061 -2.2653 19.8988
-0.1837 -2.2653 19.5939
-0.0612 -2.2653 19.3190
0.0612 -2.2653 19.0741
0.1837 -2.2653 18.8592
0.3061 -2.2653 18.6743
0.4286 -2.2653 18.5194
0.5510 -2.2653 18.3944
0.6735 -2.2653 18.2995
0.7959 -2.2653 18.2345
0.9184 -2.2653 18.1995
1.0408 -2.2653 18.1945
1.1633 -2.2653 18.2195
1.2857 -2.2653 18.2745
1.4082 -2.2653 18.3594
1.5306 -2.2653 18.4744
1.6531 -2.2653 18.6193
1.7755 -2.2653 18.7943
1.8980 -2.2653 18.9992
2.0204 -2.2653 19.2341
2.1429 -2.2653 19.4990
2.2653 -2.2653 19.7938
2.3878 -2.2653 20.1187
2.5102 -2.2653 20.4736
2.6327 -2.2653 20.8584
2.7551 -2.2653 21.2732
2.8776 -2.2653 21.7180
3.0000 -2.2653 22.1928
-3.0000 -2.1429 33.1633
-2.8776 -2.1429 32.1987
-2.7551 -2.1429 31.2641
-2.6327 -2.1429 30.3594
-2.5102 -2.1429 29.4848
-2.3878 -2.1429 28.6401
-2.2653 -2.1429 27.8255
-2.1429 -2.1429 27.0408
-2.0204 -2.1429 26.2861
-1.8980 -2.1429 25.5614
-1.7755 -2.1429 24.8667
-1.6531 -2.1429 24.2020
-1.5306 -2.1429 23.5673
-1.4082 -2.1429 22.9625
-1.2857 -2.1429 22.3878
-1.1633 -2.1429 21.8430
-1.0408 -2.1429 21.3282
-0.9184 -2.1429 20.8434
-0.7959 -2.1429 20.3886
-0.6735 -2.1429 19.9638
-0.5510 -2.1429 19.5689
-0.4286 -2.1429 19.2041
-0.3061 -2.1429 18.8692
-0.1837 -2.1429 18.5643
-0.0612 -2.1429 18.2895
0.0612 -2.1429 18.0446
