2 1
1.7027 0.5676 2.5457
1.8649 -1.2973 11.6202
1.7838 1.7027 0.7027
-1.1351 -2.0270 20.7757
2.8378 2.2703 3.4507
2.7568 -2.0270 19.3031
0.4865 0.7297 1.8773
-1.2973 -2.9189 29.4733
-0.3243 -0.8919 10.1169
0.8108 -0.5676 6.6282
-0.6486 0.9730 3.7728
-2.7568 0.4054 16.6560
-1.8649 2.4324 8.3944
-3.0000 2.5946 16.3535
2.9189 -0.6486 10.6976
1.4595 2.0270 0.2118
2.3514 2.7568 2.3988
-1.8649 0.3243 11.0153
-0.6486 1.5405 2.9291
1.8649 -2.3514 19.6822
1.4595 -2.9189 24.4069
0.7297 -0.7297 7.5245
1.9459 2.3514 1.0183
0.6486 2.7568 0.6961
-2.4324 1.9459 11.7845
-0.6486 -2.1081 19.5946
-1.1351 1.3784 4.9452
-1.0541 0.6486 6.0453
-1.2973 1.3784 5.6640
-0.4865 1.6216 2.3528
0.9730 2.5946 0.3543
-1.7838 2.5946 8.1030
-1.0541 -0.4054 10.0051
-2.2703 2.6757 11.1512
2.5946 -1.6216 15.6589
-2.4324 1.0541 12.6764
-0.4865 -2.4324 21.8561
-0.8919 0.8919 4.8072
-2.5946 -2.8378 36.3258
2.7568 -0.4054 8.8722
-2.9189 -0.4054 21.1439
-1.2162 0.4865 7.2023
0.3243 -1.9459 16.0270
-1.0541 0.7297 5.8327
1.7027 0.3243 3.3017
-2.2703 0.4054 13.2374
0.9730 0.8919 1.2286
-1.9459 2.5946 9.0321
0.4865 0.4865 2.5544
-1.8649 1.6216 8.3506
-1.1351 -3.0000 29.5588
-2.7568 -0.4865 20.2958
-1.7027 1.6216 7.4478
-2.1892 -2.4324 29.8174
-1.4595 2.2703 6.1220
0.0000 1.9459 1.0029
2.8378 -1.9459 18.9481
-1.4595 -3.0000 31.0489
1.8649 1.7838 0.7947
-1.7838 -2.3514 26.6837
-2.0270 -0.8108 17.0636
-1.7838 1.2162 8.3638
-1.9459 -0.5676 15.2710
-2.5946 1.2162 13.5354
-1.9459 -0.9730 17.5172
-1.8649 0.8108 9.6216
-2.7568 -2.2703 32.3484
2.0270 0.3243 3.8627
-3.0000 -2.9189 40.1958
-2.4324 2.1892 11.8174
-2.2703 -2.9189 34.8904
-2.5946 2.2703 12.9942
-0.4865 -2.8378 25.6143
0.4054 -2.7568 22.9803
-0.3243 -1.9459 17.3243
1.7027 1.3784 0.8802
2.5135 -2.6757 24.1527
-2.5135 1.2973 12.8386
0.7297 -2.1892 17.6224
-2.9189 1.3784 15.7443
-1.2973 0.0811 8.9598
3.0000 -0.4865 10.1826
1.7838 0.0000 4.6143
-0.9730 2.1892 3.9284
-1.7838 2.4324 7.9364
0.0000 -2.5946 22.1103
-0.6486 -0.8919 11.0811
2.8378 -2.0270 19.5946
-0.9730 -2.2703 22.1278
2.1081 -1.7027 14.9379
1.7027 1.1351 1.2418
-0.1622 -0.2432 6.3828
-0.0811 -1.1351 10.9978
-0.4865 0.7297 3.8232
-1.7838 -1.6216 20.8656
2.5946 -0.4054 8.3287
1.2162 -1.0541 9.3740
-1.7838 -0.6486 14.7648
1.2973 1.6216 0.2316
-2.1892 2.5135 10.4346
-0.8919 -2.4324 23.2257
-2.8378 0.4054 17.2717
-1.2973 0.4865 7.5683
-0.5676 -1.5405 14.9927
-2.6757 2.6757 13.9671
-1.3784 -2.7568 28.2834
2.7568 1.6216 3.2294
2.3514 2.5135 2.0898
-2.3514 2.8378 11.9335
3.0000 -2.5135 24.3718
0.2432 -1.3784 11.9861
2.5135 0.9730 3.3455
-2.9189 0.1622 18.7356
-2.1081 -0.9730 18.4989
-0.4865 -1.1351 12.0387
-2.2703 -1.2973 21.5668
2.3514 2.4324 2.0131
-0.9730 2.8378 4.5946
0.2432 0.0000 4.5727
-1.7027 -1.1351 17.1337
-0.9730 -1.6216 17.0088
-2.5135 -2.5946 33.4551
2.6757 -1.2973 13.6801
1.0541 2.4324 0.1899
1.3784 -2.1081 17.0197
-1.9459 -0.7297 16.1300
-1.9459 -1.2973 19.5508
1.6216 -2.8378 23.7911
-0.3243 2.0270 1.7546
0.8919 -0.9730 8.8503
-0.4054 1.5405 2.1863
-2.9189 -1.6216 28.4741
1.2973 2.7568 0.6611
-0.3243 3.0000 2.7538
-0.8108 2.3514 3.4025
0.4865 0.5676 2.3156
3.0000 0.6486 5.8262
-1.2162 1.8649 4.9299
-2.5135 -0.6486 19.3601
1.4595 -2.7568 22.8378
-2.1081 1.2162 10.2747
0.8108 -1.2973 10.9080
1.6216 -1.3784 11.7999
-2.6757 -1.2973 24.3828
3.0000 2.1081 4.0117
1.4595 -2.5946 21.3214
-3.0000 -0.5676 22.5924
-2.0270 -1.4595 21.1308
0.0811 1.6216 0.9876
-0.0811 0.8108 2.5829
-2.0270 1.1351 9.9109
-0.8919 -1.2973 14.4514
-0.8108 1.2162 3.8934
-0.5676 -2.6757 24.3192
2.0270 -0.8108 8.9554
0.0000 1.7838 1.0467
-0.2432 -2.1081 18.4222
-3.0000 0.0811 19.6822
-0.9730 -0.8919 12.2557
-0.0811 1.7027 1.2571
1.6216 1.2973 0.8802
-2.1081 -1.2973 20.5325
1.8649 0.8919 1.9759
2.4324 -1.2973 12.9240
-3.0000 -1.3784 27.4134
-0.7297 2.8378 3.6939
-2.9189 -2.4324 35.0044
1.7838 -2.9189 24.8101
0.9730 0.1622 3.3784
-1.3784 0.5676 7.7085
0.2432 -2.4324 20.2191
1.7027 -0.8919 8.8568
0.2432 0.2432 3.6589
1.3784 -1.3784 11.5566
-0.0811 -0.3243 6.5712
-0.8919 -1.0541 12.9065
1.7838 -0.0811 4.9452
0.3243 1.7027 0.5449
1.2973 2.9189 0.9328
-0.8919 -0.8919 11.9423
1.5405 2.4324 0.4792
-2.5135 0.8919 13.5727
-0.9730 1.1351 4.6406
-2.7568 0.9730 15.1680
0.8108 2.5946 0.3893
2.6757 -1.7027 16.5179
2.1081 -3.0000 26.2279
2.7568 -1.7838 17.4032
3.0000 2.7568 4.5727
