2 1
-3.5135 2.9730 0.3451
-4.3243 8.3784 0.0880
8.9189 9.1892 0.0482
-9.7297 -8.9189 0.0454
-8.9189 4.8649 0.0760
-8.9189 8.6486 0.0512
-5.6757 -2.7027 0.1927
-3.7838 5.1351 0.1874
9.1892 9.4595 0.0455
4.0541 3.2432 0.2763
-3.7838 6.4865 0.1370
3.2432 -6.7568 0.1375
1.3514 -0.5405 1.9425
0.5405 -1.8919 1.3625
-8.1081 1.6216 0.1137
0.0000 -7.8378 0.1261
-8.6486 -3.7838 0.0878
-6.2162 -4.5946 0.1296
-6.7568 -3.7838 0.1291
-7.0270 3.5135 0.1255
0.0000 7.8378 0.1261
-9.4595 -7.2973 0.0553
4.0541 7.8378 0.1002
-7.2973 6.4865 0.0822
-8.3784 4.5946 0.0857
6.2162 -5.4054 0.1145
7.0270 -2.7027 0.1363
-2.7027 0.0000 0.8598
-5.1351 -9.1892 0.0709
-4.0541 -3.7838 0.2443
6.4865 -2.7027 0.1557
-2.9730 3.5135 0.3451
-4.3243 1.0811 0.3658
-0.2703 -6.2162 0.1965
2.1622 -4.0541 0.3462
-5.4054 -6.7568 0.1041
8.1081 4.3243 0.0925
-3.5135 -2.9730 0.3451
9.7297 -6.7568 0.0562
-8.9189 3.2432 0.0869
-1.3514 6.7568 0.1617
-1.6216 -10.0000 0.0765
10.0000 -1.0811 0.0775
-1.3514 7.8378 0.1226
9.4595 9.4595 0.0442
4.0541 6.4865 0.1322
-1.3514 -7.5676 0.1309
4.3243 5.6757 0.1512
8.1081 1.6216 0.1137
7.5676 -4.8649 0.0965
-1.8919 1.8919 0.8735
4.5946 -7.5676 0.0995
4.0541 6.7568 0.1248
1.0811 9.1892 0.0913
-5.6757 -8.3784 0.0766
-2.1622 8.3784 0.1041
-2.1622 5.9459 0.1903
-5.9459 -5.4054 0.1202
5.6757 9.1892 0.0674
-2.4324 7.5676 0.1227
7.0270 3.5135 0.1255
-4.5946 -2.9730 0.2504
6.2162 -8.9189 0.0666
-7.8378 3.2432 0.1082
4.8649 -9.4595 0.0695
-1.0811 -2.4324 0.8805
2.4324 -7.0270 0.1396
-7.8378 -1.0811 0.1238
2.7027 -8.6486 0.0951
-4.8649 -5.6757 0.1382
7.5676 -9.1892 0.0557
-7.2973 0.0000 0.1448
-1.6216 5.4054 0.2364
2.9730 -4.0541 0.2933
5.4054 -2.4324 0.2154
-0.2703 5.9459 0.2137
0.5405 -0.8108 2.7122
7.0270 6.4865 0.0856
9.1892 5.9459 0.0657
1.8919 -4.0541 0.3634
6.4865 0.2703 0.1812
7.5676 5.9459 0.0845
-4.8649 -6.7568 0.1122
7.5676 -8.9189 0.0576
0.0000 -3.2432 0.6390
2.1622 2.1622 0.7049
-5.1351 -8.9189 0.0741
3.5135 1.3514 0.4947
-2.9730 -8.9189 0.0885
9.4595 1.6216 0.0850
5.4054 7.5676 0.0904
-4.0541 -4.0541 0.2294
-3.5135 -1.0811 0.5157
-1.0811 -0.5405 2.3115
-9.7297 5.1351 0.0650
10.0000 3.2432 0.0711
-5.4054 0.2703 0.2557
6.7568 8.6486 0.0653
-10.0000 4.3243 0.0663
-9.7297 -4.5946 0.0679
9.7297 1.6216 0.0806
1.8919 1.8919 0.8735
-2.7027 4.3243 0.2857
-6.7568 2.4324 0.1493
5.4054 -1.6216 0.2364
8.3784 6.7568 0.0679
-6.2162 -5.4054 0.1145
7.5676 2.1622 0.1251
1.3514 -4.8649 0.2910
4.3243 -2.7027 0.2857
2.1622 -3.2432 0.4653
-4.3243 3.5135 0.2421
-6.7568 1.6216 0.1591
9.4595 6.2162 0.0615
-0.5405 1.8919 1.3625
1.3514 1.6216 1.2392
-7.2973 -0.5405 0.1440
-0.5405 1.6216 1.6254
-0.5405 9.4595 0.0872
-1.0811 -1.0811 1.8444
-1.3514 -5.9459 0.2042
-7.0270 -8.6486 0.0634
10.0000 -4.5946 0.0650
5.4054 -5.1351 0.1389
0.5405 -7.0270 0.1548
2.7027 7.2973 0.1279
2.4324 -2.7027 0.5256
-0.2703 5.1351 0.2813
2.7027 -1.0811 0.7638
-1.3514 -4.8649 0.2910
10.0000 -8.1081 0.0477
6.4865 5.1351 0.1136
8.6486 5.6757 0.0734
-4.3243 -3.5135 0.2421
-9.4595 9.1892 0.0455
-2.7027 -4.5946 0.2630
2.9730 -7.5676 0.1175
6.4865 -7.0270 0.0856
8.9189 -2.1622 0.0928
9.1892 5.1351 0.0709
-9.1892 -9.7297 0.0442
-5.1351 -9.4595 0.0679
-7.0270 -8.1081 0.0683
4.3243 1.0811 0.3658
0.0000 9.7297 0.0828
4.5946 4.5946 0.1809
-6.4865 8.9189 0.0647
-4.8649 2.9730 0.2318
-4.3243 -8.6486 0.0838
-8.1081 6.4865 0.0728
6.4865 -6.4865 0.0929
-10.0000 7.8378 0.0490
-8.1081 -9.1892 0.0526
-6.2162 1.3514 0.1884
-4.3243 -2.7027 0.2857
3.7838 7.5676 0.1087
-5.4054 -7.8378 0.0863
-5.1351 3.5135 0.1965
5.4054 0.5405 0.2539
5.9459 0.5405 0.2125
-8.9189 -7.2973 0.0593
0.8108 7.5676 0.1335
